word,inaugurals_pretrump,election2016_speeches_trump,"arctan2(inaugurals_pretrump,election2016_speeches_trump)"
heartbreaking,1.53955106691e-05,3.74695559858e-05,-0.503626540018
gently,1.53955106691e-05,3.74695559858e-05,-0.503626540018
500%,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bowl,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fest,1.53955106691e-05,3.74695559858e-05,-0.503626540018
spouse,1.53955106691e-05,3.74695559858e-05,-0.503626540018
"750,000",1.53955106691e-05,3.74695559858e-05,-0.503626540018
76,1.53955106691e-05,3.74695559858e-05,-0.503626540018
vanessa,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sensor,1.53955106691e-05,3.74695559858e-05,-0.503626540018
boardroom,1.53955106691e-05,3.74695559858e-05,-0.503626540018
charitable,1.53955106691e-05,3.74695559858e-05,-0.503626540018
wilkerson,1.53955106691e-05,3.74695559858e-05,-0.503626540018
rundown,1.53955106691e-05,3.74695559858e-05,-0.503626540018
hebrew,1.53955106691e-05,3.74695559858e-05,-0.503626540018
butcher,1.53955106691e-05,3.74695559858e-05,-0.503626540018
catholics,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sheer,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fling,1.53955106691e-05,3.74695559858e-05,-0.503626540018
sisi,1.53955106691e-05,3.74695559858e-05,-0.503626540018
58,1.53955106691e-05,3.74695559858e-05,-0.503626540018
cavuto,1.53955106691e-05,3.74695559858e-05,-0.503626540018
rouge,1.53955106691e-05,3.74695559858e-05,-0.503626540018
simplification,3.07910213382e-05,7.49391119715e-05,-0.503626540018
hometown,1.53955106691e-05,3.74695559858e-05,-0.503626540018
51,1.53955106691e-05,3.74695559858e-05,-0.503626540018
--expand,1.53955106691e-05,3.74695559858e-05,-0.503626540018
forceful,1.53955106691e-05,3.74695559858e-05,-0.503626540018
bicycle,1.53955106691e-05,3.74695559858e-05,-0.503626540018
failing,1.53955106691e-05,3.74695559858e-05,-0.503626540018
c'mon,1.53955106691e-05,3.74695559858e-05,-0.503626540018
chant,1.53955106691e-05,3.74695559858e-05,-0.503626540018
routine,1.53955106691e-05,3.74695559858e-05,-0.503626540018
--forty,1.53955106691e-05,3.74695559858e-05,-0.503626540018
fighting,1.53955106691e-05,3.74695559858e-05,-0.503626540018
chattanooga,1.53955106691e-05,3.74695559858e-05,-0.503626540018
gaza,1.53955106691e-05,3.74695559858e-05,-0.503626540018
salary,1.53955106691e-05,3.74695559858e-05,-0.503626540018
chinese,1.53955106691e-05,3.74695559858e-05,-0.503626540018
rust,1.53955106691e-05,3.74695559858e-05,-0.503626540018
steagall,1.53955106691e-05,3.74695559858e-05,-0.503626540018
scott,1.53955106691e-05,3.74695559858e-05,-0.503626540018
guantanamo,1.53955106691e-05,3.74695559858e-05,-0.503626540018
hardest,1.53955106691e-05,3.74695559858e-05,-0.503626540018
globalization,1.53955106691e-05,3.74695559858e-05,-0.503626540018
booth,1.53955106691e-05,3.74695559858e-05,-0.503626540018
circuit,1.53955106691e-05,3.74695559858e-05,-0.503626540018
